movie_id,movie_title,book_title,imdb_no,usable,isbn,oclc,imdb_title,imdb_actors,imdb_writers,imdb_genres,imdb_year,imdb_rated,imdb_released,imdb_runtime,imdb_imdbrating,imdb_imdbvotes,metadata_updated,book_id,budget,gross_usa,cumulative_worldwide_gross,opening_weekend_usa
m__2866578_tt0447854,Bambi II,"Bambi, A Life in the Woods",tt0447854,True,,2866578,Bambi II,"['patrick stewart', 'alexander gould', 'keith ferguson', 'brendon baerg']","['brian pimental', 'jeanne rosenberg', 'alicia kirk', 'felix salten', 'nick thiel', 'roger s.h. schulman', 'ben gluck']","['animation', 'drama', 'family']",2006,G,26 Jan 2006,75 min,6.2,"8,275",True,b__2866578,,,34958637,
m_4872334523__tt0266308,Battle Royale (film),Battle Royale (novel),tt0266308,True,4872334523,,Battle Royale,"['tatsuya fujiwara', 'aki maeda', 'tarô yamamoto', 'takeshi kitano']","['koushun takami', 'kenta fukasaku']","['adventure', 'drama', 'sci-fi', 'thriller']",2000,Not Rated,16 Dec 2000,114 min,7.7,"158,954",True,b_4872334523_,4500000,,,
m_4872334523__tt0338763,Battle Royale II: Requiem,Battle Royale (novel),tt0338763,True,4872334523,,Battle Royale II,"['tatsuya fujiwara', 'ai maeda', 'shûgo oshinari', 'ayana sakai']","['kenta fukasaku', 'norio kida', 'koushun takami']","['action', 'drama', 'thriller', 'war']",2003,Not Rated,05 Jul 2003,134 min,4.7,"18,396",True,b_4872334523_,9000000,,,
m_0152060499_586722_tt0101412,Beastmaster 2: Through the Portal of Time,The Beast Master,tt0101412,True,0152060499,586722,Beastmaster 2: Through the Portal of Time,"['marc singer', 'kari wuhrer', 'sarah douglas', 'wings hauser']","['andre norton', 'paul pepperman', 'don coscarelli', 'jim wynorski', 'r.j. robertson', 'r.j. robertson', 'jim wynorski', 'sylvio tabet', 'ken hauser', 'doug miles']","['action', 'adventure', 'fantasy', 'sci-fi']",1991,PG-13,30 Aug 1991,107 min,3.9,"2,697",True,b_0152060499_586722,6000000,869325,,439510
m_0152060499_586722_tt0112469,Beastmaster III: The Eye of Braxus,The Beast Master,tt0112469,True,0152060499,586722,Beastmaster III: The Eye of Braxus,"['marc singer', 'tony todd', 'keith coulouris', 'sandra hess']","['don coscarelli', 'paul pepperman', 'david wise']","['action', 'adventure', 'fantasy', 'sci-fi']",1996,PG,24 May 1996,92 min,4.0,"1,071",True,b_0152060499_586722,,,,
m__18798256_tt0026104,Becky Sharp (film),Vanity Fair (novel),tt0026104,True,,18798256,Becky Sharp,"['miriam hopkins', 'frances dee', 'cedric hardwicke', 'billie burke']","['william makepeace thackeray', 'langdon mitchell', 'francis edward faragoh']","['drama', 'romance', 'war']",1935,Unrated,28 Jun 1935,84 min,6.1,744,True,b__18798256,950000,,,
m_0575006188__tt0349141,Beyond This Place (1957 TV show),Beyond This Place,tt0349141,True,0575006188,,Beyond This Place,"['max adrian', 'russell collins', 'brian donlevy', 'eduard franz']","['vance bourjaily', 'a.j. cronin']","['comedy', 'drama', 'history']",1957,N/A,25 Nov 1957,90 min,N/A,N/A,True,b_0575006188_,,,,
m__646962610_tt0078856,Beyond the Poseidon Adventure,The Poseidon Adventure (novel),tt0078856,True,,646962610,Beyond the Poseidon Adventure,"['michael caine', 'sally field', 'telly savalas', 'peter boyle']","['paul gallico', 'nelson gidding']","['action', 'adventure']",1979,PG,18 May 1979,114 min,4.6,"4,287",True,b__646962610,10000000,,,
m__11975302_tt0068290,Blood from the Mummy's Tomb,The Jewel of Seven Stars,tt0068290,True,,11975302,Blood from the Mummy's Tomb,"['andrew keir', 'valerie leon', 'james villiers', 'hugh burden']","['christopher wicking', 'bram stoker']",['horror'],1971,PG,17 May 1972,94 min,5.8,"2,494",True,b__11975302,,,,
m__7148659_tt0106452,Body Snatchers (1993 film),The Body Snatchers,tt0106452,True,,7148659,Body Snatchers,"['terry kinney', 'meg tilly', 'gabrielle anwar', 'reilly murphy']","['jack finney', 'raymond cistheri', 'larry cohen', 'stuart gordon', 'dennis paoli', 'nicholas st. john']","['horror', 'sci-fi']",1993,R,09 Jun 1993,87 min,5.9,"15,356",True,b__7148659,13000000,428868,,
